Subsystem,Tag,NodeId pattern,Implementation status,Control owner,Normal authority,Multiplicity,Authoritative/current source,Production exposure,Allowed states,Alarm class,Interlock relevance,DCS access,Poll ms,History rate
Endpoint Status,Connected,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Connected,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge 0.3 / cached DAPHNE poll,Baseline DCS,All states,Stale data,No,Read-Only,1000,On-Change
Endpoint Status,StatusSuccess,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Success,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge 0.3 / cached DAPHNE poll,Baseline DCS,All states,Fault,No,Read-Only,1000,On-Change
Endpoint Status,StatusMessage,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Message,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge 0.3 / cached DAPHNE poll,Baseline DCS,All states,Status,No,Read-Only,1000,On-Change
Endpoint Status,LastUpdate,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.LastUpdate,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge 0.3 / cached DAPHNE poll,Baseline DCS,All states,Stale data,No,Read-Only,1000,On-Change
Endpoint Status,AgeSeconds,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.AgeSeconds,REQUIRED PRODUCTION,Slow Controls,Read-only fan-out,one per DAPHNE board,Bridge freshness contract,Baseline DCS,All states,Stale data,No,Read-Only,1000,On-Change
Endpoint Status,Quality,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Quality,REQUIRED PRODUCTION,Slow Controls,Read-only fan-out,one per DAPHNE board,Bridge quality contract,Baseline DCS,All states,Stale data,No,Read-Only,1000,On-Change
Endpoint Status,ErrorCount,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.ErrorCount,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge ErrorCount,Baseline DCS,All states,Warning,No,Read-Only,5000,On-Change
Endpoint Status,ErrorsJsonCompatibility,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.ErrorsJson,CURRENT OPC-UA POC,Slow Controls,Read-only fan-out,one per DAPHNE board,NP04 OPC-UA bridge ErrorsJson,Compatibility only,All states,Status,No,Read-Only,5000,On-Change
Authority,ActiveWriter,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ActiveWriter,REQUIRED PRODUCTION,Board service (shared audit),Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,AuthorityLeaseId,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.AuthorityLeaseId,REQUIRED PRODUCTION,Board service (shared audit),Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,AuthorityLeaseExpiresAt,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.AuthorityLeaseExpiresAt,REQUIRED PRODUCTION,Board service (shared audit),Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,DetectorState,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DetectorState,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,RunNumber,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RunNumber,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,RunType,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.RunType,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ConfigurationRevision,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationRevision,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ConfigurationHash,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationHash,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,ConfigurationValid,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ConfigurationValid,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
Authority,DaqConfigureAllowed,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.DaqConfigureAllowed,REQUIRED PRODUCTION,DAQ,Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit,one per DAPHNE board,Shared OPC-UA gateway role and field-ownership contract,Baseline DCS,All states,State guard,Context,Read-Only,1000,On-Change
