Site,Active source label,Active working meaning,Requested source label,Requested working meaning,Source classification,Proposed review treatment (not source text),DAPHNE/PDS relevance or conflict,Missing production evidence,Source reference
NP02,PoF,Power-over-Fiber system,LEDs,"LED system; the PDF does not define whether this means camera illumination, calibration LEDs, or both",Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.",Define the LED class and affected PoF/PDS region before implementing an inhibit.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PoF,Power-over-Fiber system,PMTs,NP02 photomultiplier-tube system,Probably compatible,Unresolved: treat as not approved for automatic admission until the owners validate and reclassify the pair in a controlled matrix.,Unresolved NP02 pairing; no automatic permission may be inferred.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PoF,Power-over-Fiber system,PDs,NP02 photon-detector system,Compatible,"No pairwise exclusion indicated by this source; all other permits, state guards, and safety procedures remain applicable.","Expected PDS dependency; still requires approved PoF startup, health, and region mapping.","Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PoF,Power-over-Fiber system,IoL,Ionisation-laser system,Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.",Candidate PoF admission inhibit during ionisation-laser operation; priority and already-active response are absent from the source.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PoF,Power-over-Fiber system,PrM,Purity-monitor system,Probably compatible,Unresolved: treat as not approved for automatic admission until the owners validate and reclassify the pair in a controlled matrix.,Unresolved; the SC-PDS draft discusses PrM versus PDS bias but does not specify this PoF pairing.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,LEDs,"LED system; the PDF does not define whether this means camera illumination, calibration LEDs, or both",PMTs,NP02 photomultiplier-tube system,Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.",Define whether this is camera illumination rather than detector calibration light.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,LEDs,"LED system; the PDF does not define whether this means camera illumination, calibration LEDs, or both",PDs,NP02 photon-detector system,Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.","Consistent with the intended camera-LED/PDS exclusion in SC-PDS draft v1, whose second sentence incorrectly names the Purity Monitor. Do not apply this row to PDS calibration LEDs without scope approval.","Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,LEDs,"LED system; the PDF does not define whether this means camera illumination, calibration LEDs, or both",IoL,Ionisation-laser system,Compatible,"No pairwise exclusion indicated by this source; all other permits, state guards, and safety procedures remain applicable.",No pairwise exclusion is shown; normal safety and operating guards still apply.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,LEDs,"LED system; the PDF does not define whether this means camera illumination, calibration LEDs, or both",PrM,Purity-monitor system,Compatible,"No pairwise exclusion indicated by this source; all other permits, state guards, and safety procedures remain applicable.",No pairwise exclusion is shown; normal safety and operating guards still apply.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PMTs,NP02 photomultiplier-tube system,PDs,NP02 photon-detector system,Compatible,"No pairwise exclusion indicated by this source; all other permits, state guards, and safety procedures remain applicable.",NP02 evidence permits coexistence; it is not an FD operating requirement.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PMTs,NP02 photomultiplier-tube system,IoL,Ionisation-laser system,Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.","Candidate NP02 admission exclusion; signal, scope, and enforcement path are not defined.","Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PMTs,NP02 photomultiplier-tube system,PrM,Purity-monitor system,Probably compatible,Unresolved: treat as not approved for automatic admission until the owners validate and reclassify the pair in a controlled matrix.,Unresolved NP02 pairing; no automatic permission may be inferred.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PDs,NP02 photon-detector system,IoL,Ionisation-laser system,Incompatible,"Admission evidence: deny the newly requested activation while the peer is active; define priority, timeout, already-active response, and recovery before implementation.",Candidate missing SC-PDS external constraint: ionisation-laser operation versus PDS activation/bias.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,PDs,NP02 photon-detector system,PrM,Purity-monitor system,Probably compatible,Unresolved: treat as not approved for automatic admission until the owners validate and reclassify the pair in a controlled matrix.,CONFLICT: SC-PDS ICD draft v1 requires PDS SiPM bias off while the Purity Monitor is active. Resolve before either artifact is approved.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
NP02,IoL,Ionisation-laser system,PrM,Purity-monitor system,Compatible,"No pairwise exclusion indicated by this source; all other permits, state guards, and safety procedures remain applicable.",No pairwise exclusion is shown; normal safety and operating guards still apply.,"Source supplies no author, document/revision ID, variable names, scope mapping, timing, priority, failure action, recovery, or approval record.",NP02interlockMatrix.pdf; PDF created 2025-03-10; SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9
