Subsystem,Signal / Tag Name,Description,OPC-UA Node Address,Data Type,Eng Units,Signal Source,Scaling / Derivation,Sensor Span Min,Sensor Span Max,Nominal Value,Desired Range Min,Desired Range Max,Low Interlock (Trip),Low-Low,Low,High,High-High,High Interlock (Trip),Alarm Deadband / Hysteresis,Alarm On-Delay (s),Interlock Action,DCS Access,Historize?,Min Historization Rate (ms),Poll / Scan Rate (ms),Notes,Control Owner
Endpoint Status,Connected,Bridge can reach the board ZMQ service.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Connected,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge 0.3 / cached DAPHNE poll | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Stale data | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,StatusSuccess,Most recent board status transaction succeeded.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Success,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge 0.3 / cached DAPHNE poll | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Fault | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,StatusMessage,Bounded diagnostic from the most recent status transaction.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Message,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,No,On-Change,1000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge 0.3 / cached DAPHNE poll | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Status | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,LastUpdate,Source time of the most recent completed board status update.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.LastUpdate,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge 0.3 / cached DAPHNE poll | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Stale data | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,AgeSeconds,Age of the last good board status snapshot.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.AgeSeconds,Double,s,Derived,now - Status.LastUpdate,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=Bridge freshness contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Stale data | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,Quality,"Aggregate snapshot quality: Good, Uncertain, Stale, or Bad.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.Quality,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=Bridge quality contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Stale data | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,ErrorCount,Number of current status-collection errors.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.ErrorCount,Integer,N/A,Direct,None,0,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge ErrorCount | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Warning | INTERLOCK=No | CONTROL_OWNER=Slow Controls,Slow Controls
Endpoint Status,ErrorsJsonCompatibility,Compatibility JSON list of current status errors.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Status.ErrorsJson,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,No,On-Change,5000,STATUS=CURRENT OPC-UA POC | AUTHORITY=Read-only fan-out | INSTANCE=one per DAPHNE board | SOURCE=NP04 OPC-UA bridge ErrorsJson | EXPOSURE=Compatibility only | STATES=All states | ALARM=Status | INTERLOCK=No | CONTROL_OWNER=Slow Controls | Typed child nodes are required for production; clients shall not parse JSON for protection logic.,Slow Controls
Authority,ActiveWriter,"Current mutation class accepted by the board scheduler: None, DAQ, SlowControls, Expert, or DPSInhibit.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.ActiveWriter,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
Authority,AuthorityLeaseId,"Opaque identifier for the active board-side serialization token, if leases are used.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Authority.AuthorityLeaseId,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Fixed DAQ/SC field ownership enforced by the OPC-UA gateway and board service; DPS has final inhibit | INSTANCE=one per DAPHNE board | SOURCE=Shared OPC-UA gateway role and field-ownership contract | EXPOSURE=Baseline DCS | STATES=All states | ALARM=State guard | INTERLOCK=Context | CONTROL_OWNER=Board service (shared audit),Board service (shared audit)
