Source,Revision,Files/area reviewed,Use and limitation
daphneZMQ,feature/slow-control-emulator 8f0bbe8 (2026-08-18),daphne_v8_telemetry.proto; v8 snapshot builder/service/runtime/hardware collectors; emulator; branch audit,"Proposed-v8 typed telemetry producer and ControlEnvelopeV2/ZMQ handler; 1,370 board-owned points; feature/read_dead_time is explicitly deprecated"
daphnemodules,develop edf75a0c5f37 (2026-04-02; upstream current when checked 2026-08-13),daphne_control_high/low.proto; opmon schema; DaphneV2ControllerModule configuration sequence,Defines the DAQ configuration fields and sequence used to design the OPC-UA methods; DAQ should use the gateway rather than maintain the DAPHNE backend Protobuf
daphne-sc,marroyav/rpu-afe-control d278d39 (2026-08-18),OPC-UA bridge DaphneClient; v8 validation; typed snapshot writer; registry contract and end-to-end smoke,Proposed-v8 bridge maps the validated 1002/1003 snapshot into typed OPC-UA DataValues; legacy readback remains isolated as a compatibility fallback
daphne-firmware,42534e50f145 + reviewed working tree,Fpga service chain; endpoint contract; Memory_Map.md; docs/modules/spy-buffer.md; fe_axi.vhd; board identity/network deployment,"Firmware, services, identity, network, and gateware requirements. The spy-trigger selector/inhibit at 0x88000034 is exposed as typed proposed-v8 Protobuf/ZMQ readback; the older spy-buffer dead-time branch is deprecated."
DTS Endpoint Integration Guide,EDMS 2580777 file v1; document revision v2 dated 2025-10-17,"Physical layer, TX_DISABLE, LOS, SFP I2C/DOM, endpoint integration and status readiness","Authoritative timing-interface guide, including the endpoint SFP specification: TX 1550 nm / RX 1490 nm"
DTS Endpoint Firmware Interface,EDMS 2395364 file v2; document revision v6 dated 2025-10-17,"Endpoint generics, ports, startup FSM, control-bus arbitration, command decoder and register map","Defines DAQ/DTS-owned address, deskew, command mapping, resync/reset and transmitter request plus monitored status/version/errors"
DUNE Timing Interface Definition,EDMS 2209895 v1 (2018),Power-on initialization and continuous monitoring responsibilities,Historical interface source used only for the principle that timing monitored quantities are sent to SC; superseded optical wavelength text is not used
daphne_slow_controls_plan,31c289179d5d,main.tex; VST variable registry; SC-DPS plan,"Production variable families, alarms/history, and external constraints; DAQ and SC use a shared role-aware OPC-UA gateway"
Interface2,EDMS 2088726 proposed v8.0,Original-format LaTeX revision in the Interface2 repository,"DAQ-PDS physical/protocol boundary, shared OPC-UA gateway, ownership and scaling"
DCS_Intake_Template.xlsx,local supplied copy,sc_interface/gizmo/sources,Slow Controls intake column layout only; example values are cleared
CERN EDMS navigator collection supplied by requester,checked 2026-08-13,https://edms.cern.ch/ui/#!master/navigator/document?P:100905576:101799625:subDocs,The timing documents used for the ownership allocation are enumerated explicitly above; remaining installed values and thresholds still require controlled sign-off
NP02 activity context,"Vertical Drift TB, 2025-02-26; Filippo Resnati",https://indico.cern.ch/event/1522253/contributions/6404491/attachments/3026376/5341354/TB_Feb25.pdf,Official context identifies PDS commissioning with PoF laser safety approval and installation of the ionisation laser. It supports working subsystem meanings only and does not approve the supplied compatibility classifications.
NP02 compatibility matrix,PDF created 2025-03-10; supplied 2026-08-17,"NP02interlockMatrix.pdf; PoF, LEDs, PMTs, PDs, IoL, and PrM pairwise activation classifications","Historical NP02 admission evidence only; not an FD cause-and-effect specification. The source lacks author, document/revision ID, definitions, scope, signals, timing, priority, failure/recovery behavior, and approval. SHA-256 0e4027da22fb88182626a7baff22cf632d1e72a3183d93f39b743ca2c109cfa9"
